property_id,suburb,postcode,address,sale_price,sale_date,sale_method,property_type,bedrooms,bathrooms,parking,recorded_area_m2,recorded_area_source,advertised_area_m2,land_size_m2,land_size_context,floor_area_m2,year_built,zoning,strata_indicator,strata_lot_number,latitude,longitude,distance_to_cbd_km,nearest_station_name,distance_to_nearest_station_km,nearest_school_name,distance_to_school_km,major_shopping_name,distance_to_shopping_km,balcony,pool,study,renovated,air_conditioning,agent_description_title,agent_description_excerpt,agent_description_text,property_profile_source_url,web_enrichment_source_url,original_listing_url,original_base_source_url,original_source_primary,nsw_property_id,nsw_match_type,description_verified,area_notes,data_notes,enrichment_notes,location_coordinate_source,location_coordinate_method,location_coordinate_source_url,geo_verified,cbd_reference_name,cbd_reference_latitude,cbd_reference_longitude,cbd_reference_source_url,cbd_distance_method,nearest_station_coordinate_source_url,station_distance_method,geospatial_quality_note
CHIP001,Chippendale,2008,604/81 O'Connor Street,1825000,2026-08-05,Private Treaty,Apartment,2,2,1,126,nsw_exact_address,,,,,,,Yes,177,-33.88613010,151.20055353,1.529,Central Station,0.449,Inner Sydney High School,0.61,,,Yes,,,,Yes,,,,https://www.property.com.au/nsw/chippendale-2008/oconnor-st/604-81-pid-19651603/,https://www.property.com.au/nsw/chippendale-2008/oconnor-st/604-81-pid-19651603/,,https://www.domain.com.au/sold-listings/chippendale-nsw-2008/,Domain public sold-listing data + NSW Valuer General exact-address reference,4165590,address_history,False,nsw_recorded_area_m2 preserves the NSW PSI recorded area; its meaning can differ from an advertised internal floor area.,"NSW exact-address match is a prior transaction/history reference, not the 2026 target sale.",Exact profile explicitly lists balcony and air conditioning. The closest school shown on the profile is Inner Sydney High School at 0.61 km. The scheme parcel area was not used as apartment floor area.,Property.com.au public property-profile map,building-level profile map coordinate,https://www.property.com.au/nsw/chippendale-2008/oconnor-st/604-81-pid-19651603/,Yes,Sydney Town Hall,-33.8732096512,151.2062082520,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5051902,Haversine straight-line distance,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5012230,Haversine straight-line distance,"Property/building coordinate verified from a public property-profile map. CBD and station distances are straight-line distances, not road or walking distances."
CHIP002,Chippendale,2008,W614/2 Chippendale Way,535000,2026-08-03,Private Treaty,Apartment,1,1,0,46,domain_sold_listing,46,,,,,,,,-33.88461413,151.20029217,1.381,Central Station,0.453,,,,,Yes,,,,,Light-Filled Studio with Balcony in Central Park Precinct,"Positioned within the highly regarded Central Park precinct, this well-presented studio apartment.","Light-Filled Studio with Balcony in Central Park Precinct. Positioned within the highly regarded Central Park precinct, this well-presented studio apartment.",,,https://www.domain.com.au/w614-2-chippendale-way-chippendale-nsw-2008-2020648274,https://www.domain.com.au/sold-listings/chippendale-nsw-2008/,Domain public sold-listing data,,unmatched,True,,,Blank enrichment fields mean no sufficiently reliable public value was verified; no synthetic or inferred value was inserted.,Property.com.au public property-profile map,building-level profile map coordinate,,Yes,Sydney Town Hall,-33.8732096512,151.2062082520,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5051902,Haversine straight-line distance,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5012230,Haversine straight-line distance,"Property/building coordinate verified from a public property-profile map. CBD and station distances are straight-line distances, not road or walking distances."
CHIP003,Chippendale,2008,4/11 Meagher Street,750000,2026-07-30,Private Treaty,Apartment,1,1,0,56,domain_sold_listing,56,,,56,2008,,,,-33.88759036,151.19955490,1.713,Redfern Station,0.514,,,,,,,,,,Contemporary Tri Level Living in the Heart of Chippendale,Perfectly positioned in one of Chippendale's most vibrant lifestyle pockets.,Contemporary Tri Level Living in the Heart of Chippendale. Perfectly positioned in one of Chippendale's most vibrant lifestyle pockets.,https://www.property.com.au/nsw/chippendale-2008/meagher-st/4-11-pid-2761175/,https://www.property.com.au/nsw/chippendale-2008/meagher-st/4-11-pid-2761175/,https://www.domain.com.au/4-11-meagher-street-chippendale-nsw-2008-2021039729,https://www.domain.com.au/sold-listings/chippendale-nsw-2008/,Domain public sold-listing data,,unmatched,True,,,Exact property profile reports Building size: 56 m² and Built: 2008.,Property.com.au public property-profile map,exact property-profile map coordinate,https://www.property.com.au/nsw/chippendale-2008/meagher-st/4-11-pid-2761175/,Yes,Sydney Town Hall,-33.8732096512,151.2062082520,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5051902,Haversine straight-line distance,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5012154,Haversine straight-line distance,"Property/building coordinate verified from a public property-profile map. CBD and station distances are straight-line distances, not road or walking distances."
CHIP004,Chippendale,2008,718/18 Park Lane,520000,2026-07-30,Private Treaty,Apartment,1,1,0,46,nsw_exact_address,,,,,,,Yes,91,-33.88573641,151.20114766,1.469,Central Station,0.384,,,,,,,,,,,,,,,,https://www.domain.com.au/sold-listings/chippendale-nsw-2008/,Domain public sold-listing data + NSW Valuer General exact-address reference,3794829,address_history,False,nsw_recorded_area_m2 preserves the NSW PSI recorded area; its meaning can differ from an advertised internal floor area.,"NSW exact-address match is a prior transaction/history reference, not the 2026 target sale.",Blank enrichment fields mean no sufficiently reliable public value was verified; no synthetic or inferred value was inserted.,Property.com.au public property-profile map,building-level profile map coordinate,,Yes,Sydney Town Hall,-33.8732096512,151.2062082520,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5051902,Haversine straight-line distance,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5012230,Haversine straight-line distance,"Property/building coordinate verified from a public property-profile map. CBD and station distances are straight-line distances, not road or walking distances."
CHIP005,Chippendale,2008,1513/1 Chippendale Way,680000,2026-07-29,Private Treaty,Apartment,1,1,0,,,,,,,,,,,-33.88441519,151.19964934,1.385,Central Station,0.514,,,,,,,,,,Discover Elevated Luxury Living at Central Park Unit 1513,"Positioned within the vibrant heart of Chippendale, this sophisticated residence in the iconic Duo development.","Discover Elevated Luxury Living at Central Park Unit 1513. Positioned within the vibrant heart of Chippendale, this sophisticated residence in the iconic Duo development.",,,https://www.domain.com.au/1513-1-chippendale-way-chippendale-nsw-2008-2020701189,https://www.domain.com.au/sold-listings/chippendale-nsw-2008/,Domain public sold-listing data,,unmatched,True,,,Blank enrichment fields mean no sufficiently reliable public value was verified; no synthetic or inferred value was inserted.,Property.com.au public property-profile map,building-level profile map coordinate,,Yes,Sydney Town Hall,-33.8732096512,151.2062082520,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5051902,Haversine straight-line distance,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5012230,Haversine straight-line distance,"Property/building coordinate verified from a public property-profile map. CBD and station distances are straight-line distances, not road or walking distances."
CHIP006,Chippendale,2008,7/38 Dangar Place,775000,2026-07-27,Private Treaty,Apartment,1,1,1,,,87,,,87,,,,,-33.88769640,151.19774916,1.790,Redfern Station,0.506,,,,,Yes,,,,,,,,,https://www.property.com.au/nsw/chippendale-2008/apartment-unit/sold/,,https://www.domain.com.au/sold-listings/chippendale-nsw-2008/,Domain public sold-listing data,,unmatched,False,,,Exact sold-property result reports 87 m²; public profile/listing information identifies it as internal/building area. Balcony is explicitly listed.,Property.com.au public property-profile map,exact property-profile map coordinate,https://www.property.com.au/nsw/chippendale-2008/apartment-unit/sold/,Yes,Sydney Town Hall,-33.8732096512,151.2062082520,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5051902,Haversine straight-line distance,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5012154,Haversine straight-line distance,"Property/building coordinate verified from a public property-profile map. CBD and station distances are straight-line distances, not road or walking distances."
CHIP007,Chippendale,2008,29/82 Myrtle Street,1450000,2026-07-21,Private Treaty,Apartment,2,1,1,93,domain_sold_listing,93,,,,,,,,-33.88723243,151.19727048,1.764,Redfern Station,0.566,,,,,,,,,,Industrial Elegance,Wonderfully set in the converted 'Myrtle House' and graced by a third floor-floor position.,Industrial Elegance. Wonderfully set in the converted 'Myrtle House' and graced by a third floor-floor position.,,,https://www.domain.com.au/29-82-myrtle-street-chippendale-nsw-2008-2021013678,https://www.domain.com.au/sold-listings/chippendale-nsw-2008/,Domain public sold-listing data,,unmatched,True,,,Blank enrichment fields mean no sufficiently reliable public value was verified; no synthetic or inferred value was inserted.,Property.com.au public property-profile map,building-level profile map coordinate,,Yes,Sydney Town Hall,-33.8732096512,151.2062082520,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5051902,Haversine straight-line distance,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5012154,Haversine straight-line distance,"Property/building coordinate verified from a public property-profile map. CBD and station distances are straight-line distances, not road or walking distances."
CHIP008,Chippendale,2008,26 Shepherd Street,2105000,2026-07-17,Private Treaty,House,3,2,1,108,domain_sold_listing,108,107.5,property/lot area,,,R1,,,-33.88523435,151.19623018,1.624,Redfern Station,0.806,,,,,,,,Yes,,Renovated Heritage Terrace in the Heart of Chippendale,"A renovated three-bedroom terrace with a generous 5m frontage, creating an immediate sense of space.","Renovated Heritage Terrace in the Heart of Chippendale. A renovated three-bedroom terrace with a generous 5m frontage, creating an immediate sense of space.",,,https://www.domain.com.au/26-shepherd-street-chippendale-nsw-2008-2021020157,https://www.domain.com.au/sold-listings/chippendale-nsw-2008/,Domain public sold-listing data + NSW Valuer General exact-address reference,2145454,address_history,True,Domain sold page displays two area values (134m² and 108m²); 108m² retained from sold-card dataset. land_size_m2 populated from exact-address NSW recorded area for a non-strata residential record. nsw_recorded_area_m2 preserves the NSW PSI recorded area; its meaning can differ from an advertised internal floor area.,"NSW exact-address match is a prior transaction/history reference, not the 2026 target sale.",Blank enrichment fields mean no sufficiently reliable public value was verified; no synthetic or inferred value was inserted.,Property.com.au public property-profile map,exact property-profile map coordinate,,Yes,Sydney Town Hall,-33.8732096512,151.2062082520,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5051902,Haversine straight-line distance,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5012154,Haversine straight-line distance,"Property/building coordinate verified from a public property-profile map. CBD and station distances are straight-line distances, not road or walking distances."
CHIP009,Chippendale,2008,9/60-68 City Road,635000,2026-07-14,Private Treaty,Apartment,1,1,1,85,domain_sold_listing,85,,,,,,,,-33.88687594,151.19435135,1.873,Redfern Station,0.716,,,,,,,,,,Contemporary city living with exceptional lifestyle appeal,"Positioned within one of Chippendale's most sought-after residential pocket, this stylish apartment.","Contemporary city living with exceptional lifestyle appeal. Positioned within one of Chippendale's most sought-after residential pocket, this stylish apartment.",,,https://www.domain.com.au/9-60-68-city-road-chippendale-nsw-2008-2020920809,https://www.domain.com.au/sold-listings/chippendale-nsw-2008/,Domain public sold-listing data,,unmatched,True,,,Blank enrichment fields mean no sufficiently reliable public value was verified; no synthetic or inferred value was inserted.,Property.com.au public property-profile map,exact property-profile map coordinate,,Yes,Sydney Town Hall,-33.8732096512,151.2062082520,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5051902,Haversine straight-line distance,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5012154,Haversine straight-line distance,"Property/building coordinate verified from a public property-profile map. CBD and station distances are straight-line distances, not road or walking distances."
CHIP010,Chippendale,2008,505/81 O'Connor Street,1700000,2026-06-26,Private Treaty,Apartment,2,2,1,125,domain_sold_listing,125,,,,,,Yes,143,-33.88613010,151.20055353,1.529,Central Station,0.449,,,,,Yes,,Yes,,Yes,Executive 2 Bedroom + Study | North-Facing Luxury in 'Wonderland',Experience sophisticated urban living in the award-winning 'Wonderland' building at Central Park.,Executive 2 Bedroom + Study | North-Facing Luxury in 'Wonderland'. Experience sophisticated urban living in the award-winning 'Wonderland' building at Central Park.,https://www.property.com.au/nsw/chippendale-2008/oconnor-st/505-81-pid-19651703/,https://www.property.com.au/nsw/chippendale-2008/oconnor-st/505-81-pid-19651703/,https://www.domain.com.au/505-81-o-connor-street-chippendale-nsw-2008-2020136960,https://www.domain.com.au/sold-listings/chippendale-nsw-2008/,Domain public sold-listing data + NSW Valuer General exact-address reference,4165590,address_history,True,nsw_recorded_area_m2 preserves the NSW PSI recorded area; its meaning can differ from an advertised internal floor area.,"NSW exact-address match is a prior transaction/history reference, not the 2026 target sale.","Exact property profile explicitly lists balcony, study and reverse-cycle air conditioning.",Property.com.au public property-profile map,building-level profile map coordinate,https://www.property.com.au/nsw/chippendale-2008/oconnor-st/505-81-pid-19651703/,Yes,Sydney Town Hall,-33.8732096512,151.2062082520,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5051902,Haversine straight-line distance,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5012230,Haversine straight-line distance,"Property/building coordinate verified from a public property-profile map. CBD and station distances are straight-line distances, not road or walking distances."
